log_path,accuracy,valid.accuracy,init.test.accuracy,init.valid.accuracy,epoch
/watson/data/ml/results/cbt-hyperparams/h89/89_-bi_True_-ehd_384_-sed_128.out,0.6004,0.665,0.28,0.2825,2
/watson/data/ml/results/cbt-hyperparams/h9/9_-rsd_3_-ehd_384_-sed_128.out,0.3268,0.3515,0.1708,0.1595,1
/watson/data/ml/results/cbt-hyperparams/h16/16_-ehd_128_-sed_128.out,0.6364,0.6725,0.2968,0.286,3
/watson/data/ml/results/cbt-hyperparams/h91/91_-erw_0.0001_-ehd_384_-sed_128.out,0.6396,0.684,0.2916,0.2895,3
/watson/data/ml/results/cbt-hyperparams/h8/8_-rsd_3_-ehd_384_-sed_128.out,0.2172,0.2025,0.1604,0.166,0
/watson/data/ml/results/cbt-hyperparams/h53/53_-b_16_-ehd_384_-sed_128.out,0.6508,0.6985,0.2932,0.2895,1
/watson/data/ml/results/cbt-hyperparams/h120/120_-rsd_3_-ehd_384_-sed_128.out,0.2156,0.2165,0.1716,0.162,0
/watson/data/ml/results/cbt-hyperparams/h93/93_-aoa_True_-ehd_384_-sed_128.out,0.6324,0.6905,0.2868,0.2865,2
/watson/data/ml/results/cbt-hyperparams/h48/48_-bi_True_-ehd_384_-sed_128.out,0.6168,0.6545,0.2804,0.283,3
/watson/data/ml/results/cbt-hyperparams/h63/63_-erw_0.0001_-ehd_384_-sed_128.out,0.65,0.6765,0.2924,0.289,3
/watson/data/ml/results/cbt-hyperparams/h143/143_-aoa_True_-ehd_384_-sed_128.out,0.6292,0.6845,0.2876,0.2855,2
/watson/data/ml/results/cbt-hyperparams/h38/38_-erw_0.0001_-ehd_384_-sed_128.out,0.632,0.6745,0.2888,0.289,2
/watson/data/ml/results/cbt-hyperparams/h28/28_-bi_True_-ehd_384_-sed_128.out,0.6152,0.661,0.278,0.283,3
/watson/data/ml/results/cbt-hyperparams/h136/136_-qice_True_-ehd_384_-sed_128.out,0.6312,0.674,0.2788,0.273,3
/watson/data/ml/results/cbt-hyperparams/h34/34_-aoa_True_-ehd_384_-sed_128.out,0.6276,0.676,0.2896,0.284,2
/watson/data/ml/results/cbt-hyperparams/h73/73_-ehd_128_-sed_128.out,0.628,0.6695,0.2956,0.2825,3
/watson/data/ml/results/cbt-hyperparams/h152/152_-lr_0.0005_-ehd_384_-sed_128.out,0.628,0.6585,0.2916,0.2875,3
/watson/data/ml/results/cbt-hyperparams/h134/134_-ehd_256_-sed_128.out,0.632,0.671,0.2944,0.2825,3
/watson/data/ml/results/cbt-hyperparams/h30/30_-ehd_128_-sed_128.out,0.6368,0.6665,0.2976,0.284,3
/watson/data/ml/results/cbt-hyperparams/h115/115_-ehd_256_-sed_128.out,0.6428,0.6685,0.294,0.2845,3
/watson/data/ml/results/cbt-hyperparams/h85/85_-qice_True_-ehd_384_-sed_128.out,0.6272,0.6785,0.278,0.273,3
/watson/data/ml/results/cbt-hyperparams/h36/36_-ehd_256_-sed_128.out,0.6468,0.677,0.2928,0.283,3
/watson/data/ml/results/cbt-hyperparams/h92/92_-aoa_True_-ehd_384_-sed_128.out,0.6356,0.676,0.2896,0.2865,2
/watson/data/ml/results/cbt-hyperparams/h121/121_-ehd_384_-sed_384.out,0.6524,0.6875,0.262,0.2775,2
/watson/data/ml/results/cbt-hyperparams/h77/77_-qice_True_-ehd_384_-sed_128.out,0.624,0.675,0.2776,0.273,2
/watson/data/ml/results/cbt-hyperparams/h74/74_-b_64_-ehd_384_-sed_128.out,0.6152,0.669,0.2904,0.2855,4
/watson/data/ml/results/cbt-hyperparams/h25/25_-qice_True_-ehd_384_-sed_128.out,0.6244,0.675,0.2804,0.2725,3
/watson/data/ml/results/cbt-hyperparams/h68/68_-ehd_128_-sed_128.out,0.6216,0.6635,0.2952,0.2825,3
/watson/data/ml/results/cbt-hyperparams/h149/149_-lr_0.0005_-ehd_384_-sed_128.out,0.6128,0.66,0.29,0.2895,3
/watson/data/ml/results/cbt-hyperparams/h3/3_-rsd_2_-ehd_384_-sed_128.out,0.572,0.618,0.164,0.166,1
/watson/data/ml/results/cbt-hyperparams/h58/58_-rsd_2_-ehd_384_-sed_128.out,0.4808,0.522,0.166,0.1695,0
/watson/data/ml/results/cbt-hyperparams/h7/7_-rsd_3_-ehd_384_-sed_128.out,0.3288,0.3475,0.1708,0.1645,0
/watson/data/ml/results/cbt-hyperparams/h123/123_-ehd_384_-sed_384.out,0.6376,0.684,0.2608,0.275,2
/watson/data/ml/results/cbt-hyperparams/h43/43_-lr_0.0005_-ehd_384_-sed_128.out,0.6148,0.655,0.2896,0.29,2
/watson/data/ml/results/cbt-hyperparams/h12/12_-ehd_384_-sed_384.out,0.6224,0.682,0.26,0.275,2
/watson/data/ml/results/cbt-hyperparams/h103/103_-b_64_-ehd_384_-sed_128.out,0.6412,0.667,0.292,0.288,3
/watson/data/ml/results/cbt-hyperparams/h100/100_-lr_0.0005_-ehd_384_-sed_128.out,0.6092,0.6595,0.2904,0.288,4
/watson/data/ml/results/cbt-hyperparams/h37/37_-aoa_True_-ehd_384_-sed_128.out,0.6324,0.6745,0.2896,0.2855,2
/watson/data/ml/results/cbt-hyperparams/h142/142_-bi_True_-ehd_384_-sed_128.out,0.618,0.663,0.278,0.2815,2
/watson/data/ml/results/cbt-hyperparams/h148/148_-erw_0.0001_-ehd_384_-sed_128.out,0.6348,0.683,0.2896,0.2885,3
/watson/data/ml/results/cbt-hyperparams/h64/64_-rsd_3_-ehd_384_-sed_128.out,0.9756,0.9775,0.1732,0.164,1
/watson/data/ml/results/cbt-hyperparams/h61/61_-rsd_3_-ehd_384_-sed_128.out,0.3288,0.354,0.1648,0.166,2
/watson/data/ml/results/cbt-hyperparams/h42/42_-qice_True_-ehd_384_-sed_128.out,0.612,0.673,0.2776,0.2755,3
/watson/data/ml/results/cbt-hyperparams/h67/67_-lr_0.0005_-ehd_384_-sed_128.out,0.6048,0.655,0.2924,0.289,3
/watson/data/ml/results/cbt-hyperparams/h46/46_-lr_0.0005_-ehd_384_-sed_128.out,0.6216,0.6615,0.2912,0.2875,3
/watson/data/ml/results/cbt-hyperparams/h6/6_-rsd_3_-ehd_384_-sed_128.out,0.3268,0.3495,0.1632,0.161,1
/watson/data/ml/results/cbt-hyperparams/h144/144_-aoa_True_-ehd_384_-sed_128.out,0.6448,0.6815,0.2876,0.286,2
/watson/data/ml/results/cbt-hyperparams/h2/2_-rsd_2_-ehd_384_-sed_128.out,0.4272,0.469,0.1612,0.1725,0
/watson/data/ml/results/cbt-hyperparams/h102/102_-lr_0.0005_-ehd_384_-sed_128.out,0.6148,0.651,0.2896,0.2875,2
/watson/data/ml/results/cbt-hyperparams/h113/113_-rsd_2_-ehd_384_-sed_128.out,0.4788,0.5285,0.1648,0.165,0
/watson/data/ml/results/cbt-hyperparams/h88/88_-bi_True_-ehd_384_-sed_128.out,0.6132,0.657,0.2804,0.283,2
/watson/data/ml/results/cbt-hyperparams/h33/33_-aoa_True_-ehd_384_-sed_128.out,0.6248,0.6775,0.2872,0.2865,3
/watson/data/ml/results/cbt-hyperparams/h106/106_-b_64_-ehd_384_-sed_128.out,0.6228,0.6615,0.2916,0.287,2
/watson/data/ml/results/cbt-hyperparams/h101/101_-lr_0.0005_-ehd_384_-sed_128.out,0.6192,0.6635,0.292,0.289,3
/watson/data/ml/results/cbt-hyperparams/h45/45_-lr_0.0005_-ehd_384_-sed_128.out,0.6064,0.659,0.2912,0.288,3
