,batch_interrupt_received,best_valid_accuracy,bestsave_valid_accuracy,cbtest_CN_test_2500ex.txt_accuracy,epoch_interrupt_received,epoch_started,epochs_done,iterations_done,log,received_first_batch,resumed_from,test_CN.10k.txt_accuracy,time_initialization,time_read_data_this_batch,time_read_data_this_epoch,time_read_data_total,time_train_this_batch,time_train_this_epoch,time_train_total,train_accuracy,train_cost,training_finish_requested,training_started,valid_accuracy,valid_accuracy_best_so_far,valid_accuracy_best_so_far_patience_epochs,validation_CN.10k.txt_accuracy
0,False,0.285,0.285,0.2908,False,True,0.0,0.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,False,None,0.249655318698,49.7050659657,,,,,,,,,,True,0.285,True,2.0,0.269174503657
1,False,0.4045,0.4045,0.3572,False,True,0.0,1000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.289214126631,,1.92654109001,,1.92654109001,849.363457441,,849.363457441,0.332088235294,3.49058485031,,True,0.4045,True,2.0,0.28881922675
2,False,0.5025,0.5025,0.4584,False,True,0.0,2000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.347120585428,,1.94406986237,,3.87061095238,849.216198206,,1698.57965565,0.457941176471,2.84643721581,,True,0.5025,True,2.0,0.340961337513
3,False,0.5585,0.5585,0.514,False,True,0.0,3000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.37872520946,,1.90279841423,,5.77340936661,850.815713406,,2549.39536905,0.535794117647,2.54418706894,,True,0.5585,True,2.0,0.371891327064
4,False,0.5785,0.5785,0.5312,False,False,1.0,3542.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.384346166083,,,6.82837462425,6.82837462425,,3014.11493635,3014.11493635,,,,True,0.5785,True,2.0,0.37460815047
5,False,0.5785,0.5785,0.5212,False,True,1.0,4000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.373634531764,,1.95363974571,,7.72704911232,855.733640432,,3405.12900949,0.600744485294,2.21953678131,,True,0.571,,2.0,0.364681295716
6,False,0.5915,0.5915,0.5376,False,True,1.0,5000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.379573655743,,1.92807936668,,9.655128479,848.445818901,,4253.57482839,0.642882352941,2.02732205391,,True,0.5915,True,2.0,0.371786833856
7,False,0.604,0.604,0.5464,False,True,1.0,6000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.38487644501,,1.79712414742,,11.4522526264,837.291036844,,5090.86586523,0.648088235294,2.00604391098,,True,0.604,True,2.0,0.374294670846
8,False,0.615,0.615,0.562,False,True,1.0,7000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.378513097889,,1.59375715256,,13.046009779,834.877622843,,5925.74348807,0.659264705882,1.96216285229,,True,0.615,True,2.0,0.370741901776
9,False,0.618,0.618,0.564,False,False,2.0,7084.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.381164492523,,,6.34328317642,13.1716578007,,2982.79412413,5996.90906048,,,,True,0.618,True,2.0,0.369278996865
10,False,0.618,0.618,0.5344,False,True,2.0,8000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.364089511083,,1.63402152061,,14.6800312996,835.38927722,,6761.13276529,0.752446691176,1.52370893955,,True,0.5975,,2.0,0.363636363636
11,False,0.618,0.618,0.5408,False,True,2.0,9000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.359847279669,,1.55866241455,,16.2386937141,835.565877199,,7596.69864249,0.7425,1.55394256115,,True,0.614,,2.0,0.353082549634
12,False,0.618,0.618,0.548,False,True,2.0,10000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.365574292078,,1.65400385857,,17.8926975727,835.092444897,,8431.79108739,0.740382352941,1.56660568714,,True,0.616,,2.0,0.362591431557
13,False,0.6245,0.6245,0.5644,False,False,3.0,10626.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.372892141266,,,5.75782418251,18.9294819832,,2956.95195889,8953.86101937,,,,True,0.6245,True,2.0,0.366353187043
14,False,0.6245,0.6245,0.538,False,True,3.0,11000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.357832219748,,1.63233232498,,19.5250298977,833.735001802,,9265.52608919,0.773661764706,1.40136599541,,True,0.6035,,2.0,0.343260188088
15,False,0.6245,0.6245,0.5484,False,True,3.0,12000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.35231731891,,1.64108967781,,21.1661195755,833.218841314,,10098.7449305,0.834264705882,1.10989105701,,True,0.608,,2.0,0.342528735632
16,False,0.6245,0.6245,0.5356,False,True,3.0,13000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.353802099905,,1.57474803925,,22.7408676147,834.711948633,,10933.4568791,0.815911764706,1.20107924938,,True,0.6045,,2.0,0.340856844305
17,False,0.6245,0.6245,0.5364,False,True,3.0,14000.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.3509385937,,1.62687253952,,24.3677401543,834.230491638,,11767.6873708,0.805323529412,1.25073897839,,True,0.6015,,2.0,0.344723092999
18,False,0.6245,0.6245,0.5336,False,False,4.0,14168.0,/watson/data/ml/results/cbt-random-search/104/104_-sed_318_-ehd_20_-b_34.out,True,None,0.355711104041,,,5.69162940979,24.621111393,,2954.53353381,11908.3945532,,,,True,0.612,,1.0,0.349111807732
